"id","symbol","fee","side","executed_timestamp","order_id","executed_price","executed_quantity","fee_asset","is_maker","realized_pnl","match_id"
474873927,"PERP_BTC_USDC",3.717593,"SELL",1729703169103,4777703740,65678.6,0.15723,"USDC",0,-21.73251464,1729703169103644400
474873926,"PERP_BTC_USDC",1.186107,"SELL",1729703169103,4777703740,65684.6,0.05016,"USDC",0,-6.63221391,1729703169103620900
474873924,"PERP_BTC_USDC",2.519294,"SELL",1729703169103,4777703740,65684.6,0.10654,"USDC",0,-14.0868435,1729703169103606800
474873923,"PERP_BTC_USDC",0.314735,"SELL",1729703169103,4777703740,65684.6,0.01331,"USDC",0,-1.75986378,1729703169103579400
474873922,"PERP_BTC_USDC",1.247824,"SELL",1729703169103,4777703740,65684.6,0.05277,"USDC",0,-6.97731117,1729703169103545900
474872264,"PERP_BTC_USDC",0.069901,"BUY",1729702524947,4777694874,65819.9,0.00295,"USDC",0,0,1729702524948009200
474872263,"PERP_BTC_USDC",0.359926,"BUY",1729702524947,4777694874,65819.2,0.01519,"USDC",0,0,1729702524947991800
474872262,"PERP_BTC_USDC",0.473898,"BUY",1729702524947,4777694874,65819.1,0.02,"USDC",0,0,1729702524947975000
474872261,"PERP_BTC_USDC",7.200385,"BUY",1729702524947,4777694874,65816.8,0.30389,"USDC",0,0,1729702524947841800
474872259,"PERP_BTC_USDC",0.89987,"BUY",1729702524947,4777694874,65814.6,0.03798,"USDC",0,0,1729702524947816400
474871707,"PERP_BTC_USDC",6.810068,"SELL",1729702401149,4777692812,65809.2,0.28745,"USDC",0,-40.56114596,1729702401149893000
474871706,"PERP_BTC_USDC",0.89865,"SELL",1729702401149,4777692812,65812,0.03793,"USDC",0,-5.24597644,1729702401149879600
474871702,"PERP_BTC_USDC",1.272814,"SELL",1729702401149,4777692812,65815.2,0.05372,"USDC",0,-7.2579366,1729702401149851000
474871311,"PERP_BTC_USDC",5.79464,"BUY",1729702232813,4777690690,65951.9,0.24406,"USDC",0,0,1729702232813468000
474871310,"PERP_BTC_USDC",0.376794,"BUY",1729702232813,4777690690,65951.4,0.01587,"USDC",0,0,1729702232813457000
474871309,"PERP_BTC_USDC",0.35993,"BUY",1729702232813,4777690690,65950.1,0.01516,"USDC",0,0,1729702232813447400
474871308,"PERP_BTC_USDC",0.900522,"BUY",1729702232813,4777690690,65949.1,0.03793,"USDC",0,0,1729702232813438700
474871307,"PERP_BTC_USDC",0.315982,"BUY",1729702232813,4777690690,65944.9,0.01331,"USDC",0,0,1729702232813413000
474871306,"PERP_BTC_USDC",1.252769,"BUY",1729702232813,4777690690,65944.9,0.05277,"USDC",0,0,1729702232813365500
474849236,"PERP_BTC_USDC",0.03601,"SELL",1729691188137,4777555901,66684.9,0.0015,"USDC",0,0.5007,1729691188137322500
474849235,"PERP_BTC_USDC",7.199329,"SELL",1729691188137,4777555901,66684.9,0.29989,"USDC",0,100.103282,1729691188137300700
474845172,"PERP_BTC_USDC",1.953669,"BUY",1729687206186,4777517843,66351.1,0.08179,"USDC",0,0,1729687206186565600
474845171,"PERP_BTC_USDC",0.042041,"BUY",1729687206186,4777517843,66351.1,0.00176,"USDC",0,0,1729687206186541600
474845170,"PERP_BTC_USDC",2.488485,"BUY",1729687206186,4777517843,66351.1,0.10418,"USDC",0,0,1729687206186525700
474845169,"PERP_BTC_USDC",0.357341,"BUY",1729687206186,4777517843,66351.1,0.01496,"USDC",0,0,1729687206186511000
474845168,"PERP_BTC_USDC",0.899562,"BUY",1729687206186,4777517843,66351.1,0.03766,"USDC",0,0,1729687206186499800
474845167,"PERP_BTC_USDC",0.719936,"BUY",1729687206186,4777517843,66351.1,0.03014,"USDC",0,0,1729687206186473200
474845166,"PERP_BTC_USDC",0.420162,"BUY",1729687206186,4777517843,66351.1,0.01759,"USDC",0,0,1729687206186435000
474845165,"PERP_BTC_USDC",0.317928,"BUY",1729687206186,4777517843,66351.1,0.01331,"USDC",0,0,1729687206186370000
474844975,"PERP_BTC_USDC",0.336239,"BUY",1729686993351,4777515633,66342.7,0.08447,"USDC",1,-1.32257371,1729686993351174000
474844973,"PERP_BTC_USDC",0.716502,"BUY",1729686993198,4777515633,66342.7,0.18,"USDC",1,-2.81831735,1729686993198215200
